Crypto,Date,Open,High,Low,Close
LTC,2020-10-18,46.9,47.9,46.65,47.4
LTC,2020-10-17,47.33,47.78,46.42,46.9
LTC,2020-10-16,49.65,49.88,45.84,47.33
LTC,2020-10-15,49.6,50.18,48.95,49.65
LTC,2020-10-14,49.82,51.06,49.34,49.6
LTC,2020-10-13,51.1,51.54,48.93,49.82
LTC,2020-10-12,50.47,51.35,49.49,51.1
LTC,2020-10-11,49.24,51.23,48.51,50.47
LTC,2020-10-10,47.68,50.33,47.68,49.24
LTC,2020-10-09,47.35,48.17,46.68,47.68
LTC,2020-10-08,46.69,47.5,45.6,47.35
LTC,2020-10-07,45.73,46.9,45.07,46.74
LTC,2020-10-06,45.99,48.2,45.61,45.73
LTC,2020-10-05,46.75,47.03,45.59,45.96
LTC,2020-10-04,45.78,47.03,45.36,46.75
LTC,2020-10-03,45.02,45.96,44.51,45.78
LTC,2020-10-02,46.21,46.93,43.82,44.97
LTC,2020-10-01,45.91,48.47,45.33,46.23
LTC,2020-09-30,45.39,46.59,45.34,45.84
LTC,2020-09-29,46.2,46.33,44.83,45.45
LTC,2020-09-28,45.93,47.14,45.73,46.21
LTC,2020-09-27,46.1,46.54,44.63,45.93
LTC,2020-09-26,46.13,46.52,45.19,46.12
LTC,2020-09-25,45.02,46.53,44.01,46.12
LTC,2020-09-24,43.01,45.21,42.61,45.05
LTC,2020-09-23,44.07,45.1,42.31,42.72
LTC,2020-09-22,43.74,44.34,42.83,44.07
LTC,2020-09-21,46.87,47.65,42.11,43.74
LTC,2020-09-20,48.49,48.57,46.26,46.87
LTC,2020-09-19,48.07,48.88,48.04,48.47
LTC,2020-09-18,49.17,49.35,47.57,48.07
LTC,2020-09-17,48.02,49.57,47.68,49.17
LTC,2020-09-16,48.64,49.06,47.2,48.11
LTC,2020-09-15,48.86,50.24,48.43,48.65
LTC,2020-09-14,47.95,49.58,47.22,48.86
LTC,2020-09-13,50.89,51.17,47.37,47.96
LTC,2020-09-12,48.93,51.28,48.43,50.89
LTC,2020-09-11,48.41,49.23,47.41,48.95
LTC,2020-09-10,48.15,49.44,47.65,48.41
LTC,2020-09-09,46.99,48.86,46.05,48.15
LTC,2020-09-08,47.91,49.31,46.47,46.99
LTC,2020-09-07,48.23,48.84,45.27,47.82
LTC,2020-09-06,47.41,49.1,46.25,48.23
LTC,2020-09-05,51.21,51.47,45.63,47.41
LTC,2020-09-04,53.52,53.69,45.73,51.21
LTC,2020-09-03,58.03,58.62,52.1,53.5
LTC,2020-09-02,63.64,64.36,56.93,58.02
LTC,2020-09-01,60.92,64.3,60.01,63.72
LTC,2020-08-31,62.12,63.63,60.6,60.89
LTC,2020-08-30,57.64,62.44,56.99,62.07
LTC,2020-08-29,56.85,58.26,56.46,57.64
LTC,2020-08-28,55.41,58.23,55.29,56.85
LTC,2020-08-27,58.6,59.27,54.1,55.41
LTC,2020-08-26,57.72,59.2,57.09,58.58
LTC,2020-08-25,62.08,62.5,56.7,57.72
LTC,2020-08-24,60.96,62.98,60.0,62.08
LTC,2020-08-23,59.39,61.63,58.1,60.96
LTC,2020-08-22,60.18,60.46,57.84,59.36
LTC,2020-08-21,62.7,63.88,59.44,60.15
LTC,2020-08-20,60.86,63.66,60.86,62.7
LTC,2020-08-19,67.02,67.58,58.9,60.84
LTC,2020-08-18,67.58,68.95,63.57,67.02
LTC,2020-08-17,61.54,68.08,61.48,67.55
LTC,2020-08-16,60.15,62.87,58.61,61.54
LTC,2020-08-15,56.96,60.85,56.53,60.15
LTC,2020-08-14,55.21,57.94,55.03,56.96
LTC,2020-08-13,54.76,55.25,51.98,55.08
LTC,2020-08-12,53.06,55.09,51.95,54.76
LTC,2020-08-11,58.15,59.73,52.52,53.29
LTC,2020-08-10,57.06,59.39,56.73,58.26
LTC,2020-08-09,57.56,58.75,56.15,57.08
LTC,2020-08-08,57.35,58.49,56.53,57.56
LTC,2020-08-07,59.67,61.0,55.4,57.28
LTC,2020-08-06,59.42,60.73,57.73,59.67
LTC,2020-08-05,57.51,59.55,56.89,59.42
LTC,2020-08-04,58.95,59.56,56.43,57.51
LTC,2020-08-03,57.21,60.0,56.02,58.9
LTC,2020-08-02,61.84,65.22,53.91,57.25
LTC,2020-08-01,58.24,62.07,57.63,61.84
LTC,2020-07-31,57.64,59.22,55.82,58.24
LTC,2020-07-30,55.99,58.59,53.98,57.64
LTC,2020-07-29,56.89,57.05,54.88,55.78
LTC,2020-07-28,54.63,57.73,51.79,56.71
LTC,2020-07-27,47.92,54.98,47.07,54.58
LTC,2020-07-26,49.4,50.71,47.72,47.92
LTC,2020-07-25,44.53,49.4,44.14,49.4
LTC,2020-07-24,44.85,45.17,44.01,44.53
LTC,2020-07-23,43.76,45.7,43.68,44.84
LTC,2020-07-22,43.57,43.97,43.23,43.76
LTC,2020-07-21,41.91,44.13,41.88,43.57
LTC,2020-07-20,42.45,42.83,41.53,41.91
LTC,2020-07-19,42.75,42.75,41.97,42.45
LTC,2020-07-18,41.94,42.86,41.8,42.75
LTC,2020-07-17,41.93,42.41,41.71,41.94
LTC,2020-07-16,43.26,43.4,41.1,41.93
LTC,2020-07-15,43.76,44.05,42.91,43.25
LTC,2020-07-14,43.79,44.07,42.9,43.76
LTC,2020-07-13,44.3,45.58,42.64,43.79
LTC,2020-07-12,44.39,45.23,43.76,44.3
LTC,2020-07-11,44.07,44.63,43.91,44.39
LTC,2020-07-10,44.08,44.54,43.5,44.07
LTC,2020-07-09,45.22,45.83,43.6,44.09
LTC,2020-07-08,43.32,45.58,43.11,45.22
LTC,2020-07-07,43.5,44.44,43.09,43.16
LTC,2020-07-06,41.41,44.13,40.85,43.5
LTC,2020-07-05,41.91,42.16,41.11,41.41
LTC,2020-07-04,41.41,42.21,41.03,41.91
LTC,2020-07-03,40.92,41.64,40.86,41.41
LTC,2020-07-02,41.72,41.99,40.32,40.92
LTC,2020-07-01,41.17,41.99,40.99,41.72
LTC,2020-06-30,41.7,42.21,40.78,41.17
LTC,2020-06-29,41.3,41.7,40.6,41.7
LTC,2020-06-28,40.55,41.98,40.45,41.3
LTC,2020-06-27,43.28,43.34,39.43,40.55
LTC,2020-06-26,42.43,43.5,41.41,43.27
LTC,2020-06-25,42.58,42.93,41.64,42.43
LTC,2020-06-24,44.16,44.59,42.2,42.58
LTC,2020-06-23,44.4,44.62,43.89,44.16
LTC,2020-06-22,42.99,44.49,42.89,44.4
LTC,2020-06-21,43.34,43.81,42.99,42.99
LTC,2020-06-20,42.94,43.44,42.5,43.34
LTC,2020-06-19,43.14,43.6,42.83,42.94
LTC,2020-06-18,43.63,44.16,43.0,43.14
LTC,2020-06-17,43.76,44.97,43.07,43.64
LTC,2020-06-16,44.02,44.24,43.43,43.76
LTC,2020-06-15,44.3,44.3,41.78,44.0
LTC,2020-06-14,44.77,45.15,43.87,44.3
LTC,2020-06-13,44.82,45.2,44.31,44.77
LTC,2020-06-12,43.63,45.31,42.77,44.84
LTC,2020-06-11,46.66,46.91,42.21,43.63
LTC,2020-06-10,45.85,75.44,45.63,46.72
LTC,2020-06-09,46.13,46.84,45.42,45.85
LTC,2020-06-08,46.62,46.84,46.02,46.11
LTC,2020-06-07,46.89,46.93,45.18,46.62
LTC,2020-06-06,47.08,47.19,46.2,46.89
LTC,2020-06-05,47.2,47.97,46.46,47.08
LTC,2020-06-04,47.01,48.08,46.46,47.2
LTC,2020-06-03,45.7,47.43,45.3,47.01
LTC,2020-06-02,47.4,49.89,44.64,45.7
LTC,2020-06-01,46.54,47.48,45.17,47.4
LTC,2020-05-31,46.64,47.92,46.06,46.58
LTC,2020-05-30,44.52,47.25,44.21,46.64
LTC,2020-05-29,44.33,45.22,44.18,44.52
LTC,2020-05-28,43.58,44.55,43.2,44.32
LTC,2020-05-27,42.5,43.97,42.18,43.58
LTC,2020-05-26,43.05,43.05,41.81,42.5
LTC,2020-05-25,43.14,43.39,41.77,43.05
LTC,2020-05-24,44.25,44.57,42.58,43.17
LTC,2020-05-23,44.45,44.72,43.69,44.25
LTC,2020-05-22,42.67,44.6,42.36,44.51
LTC,2020-05-21,44.26,44.6,41.6,42.67
LTC,2020-05-20,45.2,46.19,43.2,44.34
LTC,2020-05-19,45.0,45.61,44.08,45.2
LTC,2020-05-18,43.88,46.62,43.51,45.0
LTC,2020-05-17,43.2,44.49,43.15,43.88
LTC,2020-05-16,42.3,43.84,42.25,43.2
LTC,2020-05-15,43.87,44.17,41.88,42.3
LTC,2020-05-14,43.35,44.35,42.33,43.87
LTC,2020-05-13,42.4,43.56,41.38,43.35
LTC,2020-05-12,41.49,42.86,40.85,42.4
LTC,2020-05-11,41.9,42.92,39.41,41.49
LTC,2020-05-10,47.68,47.68,39.92,41.9
LTC,2020-05-09,47.97,49.07,46.81,47.62
LTC,2020-05-08,47.42,48.36,46.41,47.97
LTC,2020-05-07,46.38,48.19,44.55,47.35
LTC,2020-05-06,46.5,47.56,46.18,46.3
LTC,2020-05-05,47.03,47.79,45.78,46.5
LTC,2020-05-04,47.31,48.27,45.22,46.86
LTC,2020-05-03,49.43,49.99,46.85,47.31
LTC,2020-05-02,46.61,49.57,46.61,49.43
LTC,2020-05-01,47.1,48.3,46.29,46.61
LTC,2020-04-30,48.92,50.83,45.8,47.1
LTC,2020-04-29,44.93,49.76,44.76,48.87
LTC,2020-04-28,43.96,44.95,43.6,44.94
LTC,2020-04-27,44.5,45.09,43.33,43.96
LTC,2020-04-26,44.61,45.37,43.81,44.5
LTC,2020-04-25,44.66,45.57,43.92,44.65
LTC,2020-04-24,43.34,44.95,42.8,44.66
LTC,2020-04-23,41.89,43.81,41.07,43.34
LTC,2020-04-22,40.79,42.37,40.37,41.89
LTC,2020-04-21,40.62,41.37,40.18,40.79
LTC,2020-04-20,42.67,43.31,39.6,40.51
LTC,2020-04-19,43.7,44.48,41.85,42.69
LTC,2020-04-18,42.37,43.93,42.11,43.7
LTC,2020-04-17,42.58,43.11,41.72,42.37
LTC,2020-04-16,40.47,43.62,38.0,42.58
LTC,2020-04-15,41.21,41.74,40.18,40.47
LTC,2020-04-14,41.37,41.92,40.58,41.21
LTC,2020-04-13,43.35,43.49,39.77,41.22
LTC,2020-04-12,41.86,43.71,41.74,43.35
LTC,2020-04-11,42.42,43.15,41.51,41.86
